galaxy,field,eddtip,ra,dec,EBV,A606,A814,Inc,Posang,Dist2nuc,Ext
ngc0253,ngc0253-field07,23.82,12.234532393119723,-25.014387645220687,0.0167,0.0381595,0.0248329,76,52,26.769588096123815,0.009282472605063064
ngc0253,ngc0253-field08,23.82,11.814481898804749,-25.170919699046962,0.0161,0.0367885,0.023940700000000002,76,52,34.650843387904295,0.007473483751599055
ngc0253,ngc0253-field09,23.82,11.936074574977932,-25.369250812221463,0.0161,0.0367885,0.023940700000000002,76,52,23.538322936363304,0.010341683932826825
ngc0253,ngc0253-field10,23.82,11.842906477426903,-25.429083528906588,0.0161,0.0367885,0.023940700000000002,76,52,23.521119204914857,0.010348037385696953
ngc0891,ngc0891-field01,26.04,35.67425314749623,42.32861257252329,0.0556,0.127046,0.0826772,76,25,21.59752537677899,0.01111689082523777
ngc0891,ngc0891-field02,26.04,35.69614900692828,42.376418672526256,0.0555,0.1268175,0.0825285,76,25,19.117703979398456,0.012316198485613767
ngc0891,ngc0891-field04,26.04,35.71545430396252,42.42950328719458,0.0558,0.127503,0.08297460000000001,76,25,19.39543795817928,0.012167883378070047
ngc0891,ngc0891-field05,26.04,35.85092055131294,42.281146901561364,0.0504,0.115164,0.0749448,76,25,114.46866522966992,0.002738961546247032
ngc2403,ngc2403-field03,23.5,114.59862063381291,65.47349610920239,0.0326,0.074491,0.0484762,52,122,11.594506944336397,0.018746093348314247
ngc2403,ngc2403-field04,23.5,114.76711261488167,65.41479745028188,0.0289,0.0660365,0.0429743,52,122,16.78938872065299,0.013735782074266298
ngc2403,ngc2403-field05,23.5,114.36315119974984,65.66526989598789,0.0344,0.07860400000000001,0.051152800000000005,52,122,7.842379023775376,0.026034336817349398
ngc2403,ngc2403-field06,23.5,114.49865408205979,65.72414027774091,0.0333,0.0760905,0.04951710000000001,52,122,15.093580606666508,0.015020942403385706
ngc2403,ngc2403-field07,23.5,114.80250597809176,65.618464220848,0.0299,0.06832150000000001,0.0444613,52,122,16.964959389779153,0.0136162752580399
ngc3031,ngc3031-field02,23.93,148.64576580078023,69.27896698660396,0.0731,0.1670335,0.10869970000000001,59,149,17.032353722083787,0.013571003852395536
ngc3031,ngc3031-field03,23.93,148.60243344690926,69.32685434996311,0.0759,0.1734315,0.1128633,59,149,20.856939888668435,0.011447540787144075
ngc3031,ngc3031-field04,23.93,148.51648092374995,69.41490076212499,0.0775,0.1770875,0.11524250000000001,59,149,27.89636170553825,0.008966495600395977
ngc3031,ngc3031-field05,23.93,149.31105644343535,69.1034366836176,0.068,0.15538000000000002,0.10111600000000001,59,149,20.929381134939582,0.011414248670172565
ngc3031,ngc3031-field06,23.93,149.51518825088834,69.14424512904908,0.066,0.15081000000000003,0.09814200000000001,59,149,32.393535595139845,0.00790856483406759
ngc3031,ngc3031-field07,23.93,149.71614786006387,69.17472338146963,0.0621,0.1418985,0.09234270000000001,59,149,43.06246271994688,0.006226437736646245
ngc3031,ngc3031-field08,23.93,149.17586051469408,69.37358032299313,0.0668,0.152638,0.0993316,59,149,37.33116766664564,0.007020088260404376
ngc3031,ngc3031-field09,23.93,148.55280881643066,69.09439591300114,0.0691,0.1578935,0.1027517,59,149,13.65045483483038,0.0163440285383479
ngc3031,ngc3031-field10,23.93,149.11799035998524,68.91245950871816,0.0662,0.15126699999999998,0.0984394,59,149,12.46257721397961,0.01764298604429349
ngc3031,ngc3031-field11,23.93,149.24144798603737,68.93396477512088,0.0663,0.1514955,0.0985881,59,149,13.95446822871206,0.01604440182307266
ngc3031,ngc3031-field12,23.93,148.27364916822748,68.86496519010595,0.0648,0.148068,0.0963576,59,149,40.91249511932268,0.006500154552404935
ngc4244,ngc4244-field04,24.13,184.548028543919,37.937205148648644,0.019,0.043415,0.028253,73,46,14.872967351188978,0.015207880457792419
ngc4244,ngc4244-field05,24.13,184.6446918559322,37.9885656983051,0.018,0.04113,0.026765999999999998,73,46,22.480394625032474,0.010748983419686062
ngc4244,ngc4244-field06,24.13,184.39875464018294,37.79257665518288,0.0179,0.0409015,0.0266173,73,46,6.5257729373181705,0.030380285409728886
ngc4244,ngc4244-field07,24.13,184.4789126925,37.73357794499999,0.0178,0.040673,0.026468600000000002,73,46,29.747101222395113,0.008495504762307518
ngc4565,ngc4565-field01,26.39,189.10783258098212,26.010360880236956,0.0133,0.0303905,0.0197771,71,134,20.458030516673716,0.011634750757812158
ngc4565,ngc4565-field02,26.39,189.14653244999687,25.969113515862603,0.0134,0.030619000000000004,0.0199258,71,134,20.30970677984327,0.01170608372340839
ngc4565,ngc4565-field03,26.39,189.16911659706574,26.06424227528956,0.0134,0.030619000000000004,0.0199258,71,134,73.6720351372471,0.00396596113877683
ngc4736,ngc4736-field02,24.24,192.88439916924457,41.01126916562872,0.0128,0.029248000000000003,0.0190336,38,85,17.830267048796816,0.013059005434385361
ngc4736,ngc4736-field03,24.24,192.8588932584427,41.256742335827546,0.0127,0.0290195,0.0188849,38,85,18.628998244476016,0.012587037128045335
ngc5236,ngc5236-field01,24.52,204.25338568146782,-29.732039525187595,0.0509,0.11630650000000001,0.0756883,32,45,10.1813039038614,0.02090873883013748
ngc5236,ngc5236-field02,24.52,204.2303011440191,-29.702962786438448,0.0477,0.10899450000000001,0.0709299,32,45,12.743431174454164,0.017315783112128502
ngc5236,ngc5236-field03,24.52,204.1972897723973,-29.617477664406774,0.0399,0.0911715,0.059331300000000003,32,45,19.87721545726388,0.01191966464106809
ngc5236,ngc5236-field04,24.52,204.2833845459726,-29.576015222044383,0.0381,0.08705850000000001,0.05665470000000001,32,45,21.843639609778286,0.011011581373709277
ngc5236,ngc5236-field05,24.52,204.17960718962016,-29.557756522624512,0.0385,0.08797250000000001,0.0572495,32,45,24.759421359692407,0.009911529604147496
ngc5236,ngc5236-field08,24.52,203.98209174379008,-29.956368051284795,0.042,0.09597000000000001,0.06245400000000001,32,45,18.173951187336858,0.012851245930429224
ngc5236,ngc5236-field09,24.52,203.77634592814064,-30.11749963266332,0.0421,0.0961985,0.0626027,32,45,34.133318297986484,0.007568551071210263
ngc5236,ngc5236-field10,24.52,203.93909669588325,-29.722990748738376,0.04,0.09140000000000001,0.059480000000000005,32,45,25.044141386840206,0.009816790691897517
ngc5236,ngc5236-field11,24.52,204.286391821049,-30.074570025930402,0.0419,0.09574150000000001,0.0623053,32,45,16.44111691003254,0.013979781642607011
ngc5236,ngc5236-field12,24.52,204.24455999122446,-30.11627412675198,0.0399,0.0911715,0.059331300000000003,32,45,19.045093819254046,0.012355629500673844
ngc7793,ngc7793-field01,23.76,359.5659411327315,-32.600811575919536,0.0158,0.036103,0.023494600000000004,55,98,5.929681581049986,0.03292580043915944
ngc7793,ngc7793-field02,23.76,359.65007875935976,-32.60754919014779,0.0133,0.0303905,0.0197771,55,98,10.533355676637369,0.02032013670987825
ngc7793,ngc7793-field03,23.76,359.472762388243,-32.49657810529074,0.0161,0.0367885,0.023940700000000002,55,98,10.725148844831834,0.020014461014799433
ngc7793,ngc7793-field04,23.76,359.49264569371076,-32.432525559119476,0.0139,0.0317615,0.0206693,55,98,18.131708234062273,0.01287639136767632
ngc7814,ngc7814-field03,26.81,0.8976124841288111,16.02007728108105,0.0368,0.08408800000000001,0.0547216,60,135,44.08412085114798,0.006104999882664753
ngc7814,ngc7814-field04,26.81,0.7511890050290138,16.074757748098023,0.0389,0.0888865,0.0578443,60,135,50.709961153683174,0.0054275563531105105
ngc7814,ngc7814-field05,26.81,0.8165436664627245,16.07978784790386,0.0382,0.087287,0.056803400000000004,60,135,27.686282462228554,0.009023611574346614
