galaxy,field,eddtip,ra,dec,EBV,A606,A814,Inc,Posang,Dist2nuc,Ext,red_lim,faint_lim,slope_bc,inter_bc,slope_ac,inter_ac
ngc0253,ngc0253-field07,23.65,12.234532393119723,-25.014387645220687,0.0167,0.0381595,0.0248329,76,52,26.76958809612381,0.009282472605063,0.3133266,25.60000000000005,-6.0,28.60000000000005,-6.0,28.60000000000005
ngc0253,ngc0253-field08,23.65,11.814481898804749,-25.17091969904696,0.0161,0.0367885,0.0239407,76,52,34.650843387904295,0.007473483751599,0.3128478,25.50000000000006,-6.0,28.800000000000054,-6.0,28.800000000000054
ngc0253,ngc0253-field09,23.65,11.936074574977932,-25.369250812221463,0.0161,0.0367885,0.0239407,76,52,23.538322936363304,0.0103416839328268,0.3128478,25.500000000000053,-6.0,28.700000000000053,-6.0,28.700000000000053
ngc0253,ngc0253-field10,23.65,11.842906477426904,-25.429083528906588,0.0161,0.0367885,0.0239407,76,52,23.521119204914857,0.0103480373856969,0.3128478,25.500000000000057,-6.0,28.800000000000054,-6.0,28.800000000000054
ngc0891,ngc0891-field01,25.76,35.67425314749623,42.32861257252329,0.0556,0.127046,0.0826772,76,25,21.59752537677899,0.0111168908252377,0.3443688,27.20000000000011,-6.0,31.200000000000088,-6.0,31.200000000000088
ngc0891,ngc0891-field02,25.76,35.69614900692828,42.376418672526256,0.0555,0.1268175,0.0825285,76,25,19.117703979398456,0.0123161984856137,0.34428899999999996,27.2000000000001,-6.0,31.500000000000092,-6.0,31.500000000000092
ngc0891,ngc0891-field04,25.76,35.71545430396252,42.42950328719458,0.0558,0.127503,0.0829746,76,25,19.39543795817928,0.01216788337807,0.34452839999999996,27.200000000000106,-6.0,31.600000000000094,-6.0,31.600000000000094
ngc0891,ngc0891-field05,25.76,35.85092055131294,42.28114690156136,0.0504,0.115164,0.0749448,76,25,114.46866522966992,0.002738961546247,0.34021919999999994,26.800000000000068,-6.0,30.100000000000072,-6.0,30.100000000000072
ngc2403,ngc2403-field03,23.5,114.59862063381291,65.47349610920239,0.0326,0.074491,0.0484762,52,122,11.594506944336397,0.0187460933483142,0.32601480000000005,25.70000000000006,-6.0,27.00000000000003,-6.0,27.00000000000003
ngc2403,ngc2403-field04,23.5,114.76711261488168,65.41479745028188,0.0289,0.0660365,0.0429743,52,122,16.78938872065299,0.0137357820742662,0.32306219999999997,25.70000000000006,-6.0,26.900000000000027,-6.0,26.900000000000027
ngc2403,ngc2403-field05,23.5,114.36315119974984,65.66526989598789,0.0344,0.078604,0.0511528,52,122,7.842379023775376,0.0260343368173493,0.3274512,25.700000000000063,-6.0,26.40000000000002,-6.0,26.40000000000002
ngc2403,ngc2403-field06,23.5,114.4986540820598,65.72414027774091,0.0333,0.0760905,0.0495171,52,122,15.093580606666508,0.0150209424033857,0.3265734,25.60000000000006,-6.0,27.300000000000033,-6.0,27.300000000000033
ngc2403,ngc2403-field07,23.5,114.80250597809176,65.618464220848,0.0299,0.0683215,0.0444613,52,122,16.964959389779153,0.0136162752580399,0.3238602,25.60000000000006,-6.0,27.20000000000003,-6.0,27.20000000000003
ngc3031,ngc3031-field02,23.93,148.64576580078025,69.27896698660396,0.0731,0.1670335,0.1086997,59,149,17.032353722083787,0.0135710038523955,0.3583338,28.200000000000088,-6.0,29.20000000000006,-6.0,29.20000000000006
ngc3031,ngc3031-field03,23.93,148.60243344690926,69.32685434996311,0.0759,0.1734315,0.1128633,59,149,20.856939888668435,0.011447540787144,0.3605682,25.500000000000057,-6.0,28.700000000000053,-6.0,28.700000000000053
ngc3031,ngc3031-field04,23.93,148.51648092374995,69.41490076212499,0.0775,0.1770875,0.1152425,59,149,27.89636170553825,0.0089664956003959,0.36184499999999997,25.600000000000048,-6.0,28.40000000000005,-6.0,28.40000000000005
ngc3031,ngc3031-field05,23.93,149.31105644343535,69.1034366836176,0.068,0.15538,0.101116,59,149,20.929381134939582,0.0114142486701725,0.354264,25.60000000000006,-6.0,29.400000000000063,-6.0,29.400000000000063
ngc3031,ngc3031-field06,23.93,149.51518825088834,69.14424512904908,0.066,0.15081,0.098142,59,149,32.393535595139845,0.0079085648340675,0.352668,25.70000000000006,-6.0,28.700000000000053,-6.0,28.700000000000053
ngc3031,ngc3031-field07,23.93,149.71614786006387,69.17472338146963,0.0621,0.1418985,0.0923427,59,149,43.06246271994688,0.0062264377366462,0.34955579999999997,25.70000000000005,-6.0,27.90000000000004,-6.0,27.90000000000004
ngc3031,ngc3031-field08,23.93,149.17586051469408,69.37358032299313,0.0668,0.152638,0.0993316,59,149,37.33116766664564,0.0070200882604043,0.35330639999999996,25.60000000000006,-6.0,28.300000000000047,-6.0,28.300000000000047
ngc3031,ngc3031-field09,23.93,148.55280881643066,69.09439591300114,0.0691,0.1578935,0.1027517,59,149,13.65045483483038,0.0163440285383479,0.35514179999999995,27.100000000000104,-6.0,29.90000000000007,-6.0,29.90000000000007
ngc3031,ngc3031-field10,23.93,149.11799035998524,68.91245950871816,0.0662,0.1512669999999999,0.0984394,59,149,12.46257721397961,0.0176429860442934,0.35282759999999985,26.200000000000102,-6.0,29.800000000000068,-6.0,29.800000000000068
ngc3031,ngc3031-field11,23.93,149.24144798603737,68.93396477512088,0.0663,0.1514955,0.0985881,59,149,13.95446822871206,0.0160444018230726,0.3529074,26.200000000000088,-6.0,29.500000000000064,-6.0,29.500000000000064
ngc3031,ngc3031-field12,23.93,148.27364916822748,68.86496519010595,0.0648,0.148068,0.0963576,59,149,40.91249511932268,0.0065001545524049,0.35171040000000003,27.900000000000066,-6.0,28.100000000000044,-6.0,28.100000000000044
ngc4244,ngc4244-field04,24.13,184.548028543919,37.93720514864864,0.019,0.043415,0.028253,73,46,14.872967351188978,0.0152078804577924,0.31516199999999994,25.600000000000048,-6.0,26.700000000000024,-6.0,26.700000000000024
ngc4244,ngc4244-field05,24.13,184.6446918559322,37.9885656983051,0.018,0.04113,0.0267659999999999,73,46,22.480394625032478,0.010748983419686,0.3143640000000001,25.60000000000006,-6.0,26.700000000000024,-6.0,26.700000000000024
ngc4244,ngc4244-field06,24.13,184.39875464018291,37.79257665518288,0.0179,0.0409015,0.0266173,73,46,6.5257729373181705,0.0303802854097288,0.31428419999999996,25.600000000000055,-6.0,28.300000000000047,-6.0,28.300000000000047
ngc4244,ngc4244-field07,24.13,184.4789126925,37.73357794499999,0.0178,0.040673,0.0264686,73,46,29.747101222395116,0.0084955047623075,0.3142044,25.40000000000005,-6.0,27.10000000000003,-6.0,27.10000000000003
ngc4565,ngc4565-field01,26.39,189.1078325809821,26.01036088023696,0.0133,0.0303905,0.0197771,71,134,20.45803051667372,0.0116347507578121,0.3106134,27.100000000000097,-6.0,30.900000000000084,-6.0,30.900000000000084
ngc4565,ngc4565-field02,26.39,189.14653244999687,25.969113515862603,0.0134,0.030619,0.0199258,71,134,20.30970677984327,0.0117060837234083,0.3106932,27.100000000000097,-6.0,31.40000000000009,-6.0,31.40000000000009
ngc4565,ngc4565-field03,26.39,189.1691165970657,26.06424227528956,0.0134,0.030619,0.0199258,71,134,73.6720351372471,0.0039659611387768,0.3106932,27.100000000000065,-6.0,30.300000000000075,-6.0,30.300000000000075
ngc4736,ngc4736-field02,24.24,192.88439916924457,41.01126916562872,0.0128,0.029248,0.0190336,38,85,17.830267048796816,0.0130590054343853,0.3102144,25.70000000000006,-6.0,29.90000000000007,-6.0,29.90000000000007
ngc4736,ngc4736-field03,24.24,192.8588932584427,41.256742335827546,0.0127,0.0290195,0.0188849,38,85,18.628998244476016,0.0125870371280453,0.3101346,25.60000000000005,-6.0,29.90000000000007,-6.0,29.90000000000007
ngc5236,ngc5236-field01,24.52,204.25338568146785,-29.732039525187595,0.0509,0.1163065,0.0756883,32,45,10.1813039038614,0.0209087388301374,0.3406182,26.500000000000078,-6.0,30.60000000000008,-6.0,30.60000000000008
ngc5236,ngc5236-field02,24.52,204.2303011440191,-29.702962786438448,0.0477,0.1089945,0.0709299,32,45,12.743431174454164,0.0173157831121285,0.3380646,25.70000000000006,-6.0,30.100000000000072,-6.0,30.100000000000072
ngc5236,ngc5236-field03,24.52,204.1972897723973,-29.61747766440677,0.0399,0.0911715,0.0593313,32,45,19.87721545726388,0.011919664641068,0.33184020000000003,25.70000000000006,-6.0,28.700000000000053,-6.0,28.700000000000053
ngc5236,ngc5236-field04,24.52,204.2833845459726,-29.576015222044383,0.0381,0.0870585,0.0566547,32,45,21.84363960977829,0.0110115813737092,0.33040379999999997,25.70000000000006,-6.0,28.60000000000005,-6.0,28.60000000000005
ngc5236,ngc5236-field05,24.52,204.17960718962016,-29.557756522624512,0.0385,0.0879725,0.0572495,32,45,24.759421359692407,0.0099115296041474,0.330723,25.70000000000006,-6.0,29.000000000000057,-6.0,29.000000000000057
ngc5236,ngc5236-field08,24.52,203.98209174379008,-29.956368051284795,0.042,0.09597,0.062454,32,45,18.173951187336858,0.0128512459304292,0.333516,25.80000000000006,-6.0,26.700000000000024,-6.0,26.700000000000024
ngc5236,ngc5236-field09,24.52,203.77634592814064,-30.11749963266332,0.0421,0.0961985,0.0626027,32,45,34.133318297986484,0.0075685510712102,0.3335958,25.80000000000006,-6.0,28.60000000000005,-6.0,28.60000000000005
ngc5236,ngc5236-field10,24.52,203.93909669588325,-29.722990748738376,0.04,0.0914,0.05948,32,45,25.04414138684021,0.0098167906918975,0.33192,25.800000000000065,-6.0,28.300000000000047,-6.0,28.300000000000047
ngc5236,ngc5236-field11,24.52,204.286391821049,-30.0745700259304,0.0419,0.0957415,0.0623053,32,45,16.44111691003254,0.013979781642607,0.33343619999999996,25.60000000000006,-6.0,28.200000000000045,-6.0,28.200000000000045
ngc5236,ngc5236-field12,24.52,204.2445599912245,-30.11627412675198,0.0399,0.0911715,0.0593313,32,45,19.04509381925405,0.0123556295006738,0.33184020000000003,25.700000000000063,-6.0,25.900000000000013,-6.0,25.900000000000013
ngc7793,ngc7793-field01,23.76,359.5659411327315,-32.600811575919536,0.0158,0.036103,0.0234946,55,98,5.929681581049986,0.0329258004391594,0.3126084,25.600000000000087,-6.0,27.500000000000036,-6.0,27.500000000000036
ngc7793,ngc7793-field02,23.76,359.65007875935976,-32.60754919014779,0.0133,0.0303905,0.0197771,55,98,10.533355676637369,0.0203201367098782,0.3106134,25.600000000000055,-6.0,27.80000000000004,-6.0,27.80000000000004
ngc7793,ngc7793-field03,23.76,359.472762388243,-32.49657810529074,0.0161,0.0367885,0.0239407,55,98,10.725148844831834,0.0200144610147994,0.3128478,25.700000000000056,-6.0,27.600000000000037,-6.0,27.600000000000037
ngc7793,ngc7793-field04,23.76,359.4926456937108,-32.43252555911948,0.0139,0.0317615,0.0206693,55,98,18.131708234062277,0.0128763913676763,0.3110922,25.50000000000005,-6.0,27.600000000000037,-6.0,27.600000000000037
ngc7814,ngc7814-field03,26.81,0.8976124841288111,16.02007728108105,0.0368,0.084088,0.0547216,60,135,44.08412085114798,0.0061049998826647,0.3293664,27.00000000000006,-6.0,30.500000000000078,-6.0,30.500000000000078
ngc7814,ngc7814-field04,26.81,0.7511890050290138,16.074757748098023,0.0389,0.0888865,0.0578443,60,135,50.70996115368317,0.0054275563531105,0.33104219999999995,27.000000000000064,-6.0,30.60000000000008,-6.0,30.60000000000008
ngc7814,ngc7814-field05,26.81,0.8165436664627245,16.07978784790386,0.0382,0.087287,0.0568034,60,135,27.686282462228554,0.0090236115743466,0.3304836,27.00000000000009,-6.0,31.30000000000009,-6.0,31.30000000000009
